model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3618.25390625,3618.25390625,0.0027381844818592,4325376.0,33280.0,0.0,False,128.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3618.30859375,3618.30859375,0.0002734609413892,528384.0,526336.0,0.0,False,1.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3619.87109375,3619.91796875,0.0004220662638545,1056768.0,526336.0,0.0,False,2.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3622.992542613637,3623.1171875,0.0011222308967262,2113536.0,526336.0,0.0,False,4.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3624.900213068182,3624.921875,0.0010475589428097,4227072.0,526336.0,0.0,False,8.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3627.828125,3627.8515625,0.0014153322204947,8454144.0,526336.0,0.0,False,16.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3630.879774305556,3630.89453125,0.0025492307264357,16908288.0,526336.0,0.0,False,32.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3632.89453125,3632.89453125,0.0107368607539683,33816576.0,526336.0,0.0,False,64.0
lstm,1.0,256.0,cpu,False,False,False,0.0,relu,3634.92578125,3634.92578125,0.0103599274996668,67633152.0,526336.0,0.0,False,128.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3650.3291015625,3650.50390625,0.000763401389122,2105344.0,2101248.0,0.0,False,1.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3650.98828125,3650.98828125,0.0019818088039755,4210688.0,2101248.0,0.0,False,2.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3650.9921875,3650.9921875,0.0042832884471863,8421376.0,2101248.0,0.0,False,4.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3650.9921875,3650.9921875,0.0023394311312586,16842752.0,2101248.0,0.0,False,8.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3661.962646484375,3661.96875,0.0044042459223419,33685504.0,2101248.0,0.0,False,16.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3673.939630681818,3673.9765625,0.0120863228570669,67371008.0,2101248.0,0.0,False,32.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3678.15625,3678.15625,0.0191731351427733,134742016.0,2101248.0,0.0,False,64.0
lstm,1.0,512.0,cpu,False,False,False,0.0,relu,3685.90625,3685.90625,0.028884084848687,269484032.0,2101248.0,0.0,False,128.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3749.7265625,3749.765625,0.0027210566215217,8404992.0,8396800.0,0.0,False,1.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3797.0068359375,3797.1171875,0.0099299798253923,16809984.0,8396800.0,0.0,False,2.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3845.24609375,3845.24609375,0.0100092051550745,33619968.0,8396800.0,0.0,False,4.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3893.2350260416665,3893.328125,0.016664972435683,67239936.0,8396800.0,0.0,False,8.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3942.8288871951218,3942.8359375,0.0233827860560268,134479872.0,8396800.0,0.0,False,16.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3949.7890625,3949.7890625,0.0391876229550689,268959744.0,8396800.0,0.0,False,32.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3741.73046875,3741.73046875,0.0702286783605814,537919488.0,8396800.0,0.0,False,64.0
lstm,1.0,1024.0,cpu,False,False,False,0.0,relu,3781.4986979166665,3781.79296875,0.1334678069222718,1075838976.0,8396800.0,0.0,False,128.0
lstm,1.0,2048.0,cpu,False,False,False,0.0,relu,3908.2296875,3908.2734375,0.0133206522092223,33587200.0,33570816.0,0.0,False,1.0
lstm,1.0,2048.0,cpu,False,False,False,0.0,relu,4036.408653846154,4036.42578125,0.0158816396258771,67174400.0,33570816.0,0.0,False,2.0
lstm,1.0,2048.0,cpu,False,False,False,0.0,relu,4164.39921875,4164.48828125,0.0332686340436339,134348800.0,33570816.0,0.0,False,4.0
lstm,1.0,2048.0,cpu,False,False,False,0.0,relu,4292.876608455882,4292.890625,0.0593705252278596,268697600.0,33570816.0,0.0,False,8.0
