<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs
53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,3819962368.0,192.0,224.0,0.08300075437873602,2199499309056.0,3819962368.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,4233101312.0,256.0,224.0,0.11074093580245972,2932665745408.0,4233101312.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,4979687424.0,384.0,224.0,0.2098982769995928,4398998618112.0,4979687424.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,5644484608.0,512.0,224.0,0.3073723355308175,5865331490816.0,5644484608.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,,,,,1395654656.0,1.0,224.0,0.0013889556750655175,336242432.0,1395654656.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,,,,,1401946112.0,2.0,224.0,0.0015044111758470535,672484864.0,1401946112.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,87306240.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,,,,,1410334720.0,4.0,224.0,0.0019321300089359284,1344969728.0,1410334720.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,174612480.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,,,,,1427111936.0,8.0,224.0,0.0016214517876505853,2689939456.0,1427111936.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,349224960.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,,,,,1452277760.0,16.0,224.0,0.0017803441733121872,5379878912.0,1452277760.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,698449920.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,,,,,1517289472.0,32.0,224.0,0.002721830643713474,10759757824.0,1517289472.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,1396899840.0,52.0,20040695808.0,1.0,0.0,1.0,81920000.0,,,,,1594884096.0,64.0,224.0,0.004691866040229797,21519515648.0,1594884096.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,2095349760.0,52.0,30061043712.0,1.0,0.0,1.0,122880000.0,,,,,1703936000.0,96.0,224.0,0.006608558818697929,32279273472.0,1703936000.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,2793799680.0,52.0,40081391616.0,1.0,0.0,1.0,163840000.0,,,,,1951399936.0,128.0,224.0,0.009591040946543217,43039031296.0,1951399936.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,4190699520.0,52.0,60122087424.0,1.0,0.0,1.0,245760000.0,,,,,1970274304.0,192.0,224.0,0.014131221733987332,64558546944.0,1970274304.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,5587599360.0,52.0,80162783232.0,1.0,0.0,1.0,327680000.0,,,,,2450522112.0,256.0,224.0,0.020171395502984524,86078062592.0,2450522112.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,8381399040.0,52.0,120244174848.0,1.0,0.0,1.0,491520000.0,,,,,2492465152.0,384.0,224.0,0.026515435241162778,129117093888.0,2492465152.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
52.0,11175198720.0,52.0,160325566464.0,1.0,0.0,1.0,655360000.0,,,,,2834300928.0,512.0,224.0,0.03881134577095509,172156125184.0,2834300928.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0
