img_size,in_channel,input_size,kernel_size,macs,out_channel,stride
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,205922304.0,512.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,823689216.0,512.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,3294756864.0,512.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,13179027456.0,512.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,4202496.0,512.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,12870144.0,512.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,51480576.0,512.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,205922304.0,512.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,823689216.0,512.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,3294756864.0,512.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,1050624.0,512.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,2363904.0,512.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,9455616.0,512.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,37822464.0,512.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,138945024.0,512.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,531878400.0,512.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,58995200.0,512.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,339812352.0,512.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,1595230208.0,512.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,6881200128.0,512.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,28553676800.0,512.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,116300777472.0,512.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,21238272.0,512.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,84953088.0,512.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,398807552.0,512.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,1720300032.0,512.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,7138419200.0,512.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,29075194368.0,512.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,2359808.0,512.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,21238272.0,512.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,84953088.0,512.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,285536768.0,512.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,1142147072.0,512.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,4778611200.0,512.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,25740288.0,1024.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,102961152.0,1024.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,411844608.0,1024.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,1647378432.0,1024.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,6589513728.0,1024.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,26358054912.0,1024.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,8404992.0,1024.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,25740288.0,1024.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,102961152.0,1024.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,411844608.0,1024.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,1647378432.0,1024.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,6589513728.0,1024.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,2101248.0,1024.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,4727808.0,1024.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,18911232.0,1024.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,75644928.0,1024.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,277890048.0,1024.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,1063756800.0,1024.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,117990400.0,1024.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,679624704.0,1024.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,3190460416.0,1024.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,13762400256.0,1024.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,57107353600.0,1024.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,232601554944.0,1024.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,42476544.0,1024.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,169906176.0,1024.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,797615104.0,1024.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,3440600064.0,1024.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,14276838400.0,1024.0,2.0
