<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,16259219456.0,512.0,224.0,0.21136406678706407,2195550371840.0,16259219456.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1417674752.0,1.0,224.0,0.006791133061051368,11455725568.0,1417674752.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,1553989632.0,2.0,224.0,0.006784935668110848,22911451136.0,1553989632.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,1688207360.0,4.0,224.0,0.006921000964939594,45822902272.0,1688207360.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,1885339648.0,8.0,224.0,0.007693370617926121,91645804544.0,1885339648.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2126512128.0,16.0,224.0,0.011745317839086056,183291609088.0,2126512128.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,2405433344.0,32.0,224.0,0.020075488090515136,366583218176.0,2405433344.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2925527040.0,64.0,224.0,0.043849645368754867,733166436352.0,2925527040.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,3665821696.0,96.0,224.0,0.05558307897299528,1099749654528.0,3665821696.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,4441767936.0,128.0,224.0,0.06867854427546262,1466332872704.0,4441767936.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,6220152832.0,192.0,224.0,0.10347649920731784,2199499309056.0,6220152832.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,8596226048.0,256.0,224.0,0.1375742407515645,2932665745408.0,8596226048.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,12167675904.0,384.0,224.0,0.2143770197406411,4398998618112.0,12167675904.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,16919822336.0,512.0,224.0,0.2854409351944923,5865331490816.0,16919822336.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,,,,,1126170624.0,1.0,224.0,0.005228698812425136,336242432.0,1126170624.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,,,,,1134559232.0,2.0,224.0,0.005701881088316441,672484864.0,1134559232.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,87306240.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,,,,,1161822208.0,4.0,224.0,0.006307895854115486,1344969728.0,1161822208.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,174612480.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,,,,,1189085184.0,8.0,224.0,0.005736968107521535,2689939456.0,1189085184.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,349224960.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,,,,,1216348160.0,16.0,224.0,0.006126104108989239,5379878912.0,1216348160.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,698449920.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,,,,,1350565888.0,32.0,224.0,0.005914837121963501,10759757824.0,1350565888.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,1396899840.0,52.0,20040695808.0,1.0,0.0,1.0,81920000.0,,,,,1612709888.0,64.0,224.0,0.00868956483900547,21519515648.0,1612709888.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,2095349760.0,52.0,30061043712.0,1.0,0.0,1.0,122880000.0,,,,,1847590912.0,96.0,224.0,0.013226498663425445,32279273472.0,1847590912.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,2793799680.0,52.0,40081391616.0,1.0,0.0,1.0,163840000.0,,,,,2160066560.0,128.0,224.0,0.016930092684924604,43039031296.0,2160066560.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,4190699520.0,52.0,60122087424.0,1.0,0.0,1.0,245760000.0,,,,,2629828608.0,192.0,224.0,0.022607168182730675,64558546944.0,2629828608.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,5587599360.0,52.0,80162783232.0,1.0,0.0,1.0,327680000.0,,,,,3254779904.0,256.0,224.0,0.030000516772270207,86078062592.0,3254779904.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,8381399040.0,52.0,120244174848.0,1.0,0.0,1.0,491520000.0,,,,,4188012544.0,384.0,224.0,0.04329941272735596,129117093888.0,4188012544.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
