latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
9.586773812770843e-05,1295777792.0,1295777792.0,446054400.0,446054400.0,36992.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,3.0,1.0,112.0
0.00013021081686019896,1323040768.0,1323040768.0,1816805376.0,1816805376.0,36992.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,3.0,1.0,224.0
6.589516997337341e-05,1274806272.0,1274806272.0,331776.0,331776.0,36992.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,3.0,2.0,7.0
4.5190006494522096e-05,1274806272.0,1274806272.0,1327104.0,1327104.0,36992.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,3.0,2.0,14.0
0.00014661885797977446,1274806272.0,1274806272.0,6230016.0,6230016.0,36992.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,3.0,2.0,28.0
0.00011373385787010193,1274806272.0,1274806272.0,26873856.0,26873856.0,36992.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,3.0,2.0,56.0
4.6310946345329285e-05,1295777792.0,1295777792.0,111513600.0,111513600.0,36992.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,3.0,2.0,112.0
5.9991702437400817e-05,1295777792.0,1295777792.0,454201344.0,454201344.0,36992.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,3.0,2.0,224.0
4.0558353066444394e-05,1274806272.0,1274806272.0,36864.0,36864.0,36992.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,3.0,5.0,7.0
4.3925270438194276e-05,1274806272.0,1274806272.0,331776.0,331776.0,36992.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,3.0,5.0,14.0
0.00015866011381149292,1274806272.0,1274806272.0,1327104.0,1327104.0,36992.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,3.0,5.0,28.0
7.357150316238404e-05,1276903424.0,1276903424.0,4460544.0,4460544.0,36992.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,3.0,5.0,56.0
4.963874816894531e-05,1295777792.0,1295777792.0,17842176.0,17842176.0,36992.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,3.0,5.0,112.0
7.192865014076233e-05,1297874944.0,1297874944.0,74649600.0,74649600.0,36992.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,3.0,5.0,224.0
4.239827394485474e-05,1274806272.0,1274806272.0,401408.0,401408.0,8448.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,1.0,1.0,7.0
5.261152982711792e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,8448.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,1.0,1.0,14.0
4.0994584560394286e-05,1274806272.0,1274806272.0,6422528.0,6422528.0,8448.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,1.0,1.0,28.0
6.09956681728363e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,8448.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,1.0,1.0,56.0
