accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,399.61328125,1.0,0.0,cpu,0.0,2048.0,0.0043465450000439885,16789504.0,399.61328125,rnn,0.0,8392704.0,0.0,0.0,2.0
0.0,relu,431.62109375,1.0,0.0,cpu,0.0,2048.0,0.005426067999997031,33579008.0,431.62109375,rnn,0.0,8392704.0,0.0,0.0,4.0
0.0,relu,463.62890625,1.0,0.0,cpu,0.0,2048.0,0.009019937600078265,67158016.0,463.62890625,rnn,0.0,8392704.0,0.0,0.0,8.0
0.0,relu,496.0110677083333,1.0,0.0,cpu,0.0,2048.0,0.016599383300035696,134316032.0,496.01953125,rnn,0.0,8392704.0,0.0,0.0,16.0
0.0,relu,528.4953125,1.0,0.0,cpu,0.0,2048.0,0.030735679699955654,268632064.0,528.5703125,rnn,0.0,8392704.0,0.0,0.0,32.0
0.0,relu,561.0753348214286,1.0,0.0,cpu,0.0,2048.0,0.06549809190000815,537264128.0,561.09765625,rnn,0.0,8392704.0,0.0,0.0,64.0
0.0,relu,598.2620442708334,1.0,0.0,cpu,0.0,2048.0,0.12455993089997719,1074528256.0,599.296875,rnn,0.0,8392704.0,0.0,0.0,128.0
0.0,relu,671.30859375,1.0,0.0,cpu,0.0,3072.0,0.0042480525999963,18883584.0,671.30859375,rnn,0.0,18880512.0,0.0,0.0,1.0
0.0,relu,743.31640625,1.0,0.0,cpu,0.0,3072.0,0.008209554599943658,37767168.0,743.31640625,rnn,0.0,18880512.0,0.0,0.0,2.0
0.0,relu,815.32421875,1.0,0.0,cpu,0.0,3072.0,0.012919060700005503,75534336.0,815.32421875,rnn,0.0,18880512.0,0.0,0.0,4.0
0.0,relu,887.33203125,1.0,0.0,cpu,0.0,3072.0,0.02270671340002082,151068672.0,887.33203125,rnn,0.0,18880512.0,0.0,0.0,8.0
0.0,relu,369.96484375,1.0,0.0,cpu,0.0,3072.0,0.040782856399982845,302137344.0,370.00390625,rnn,0.0,18880512.0,0.0,0.0,16.0
0.0,relu,442.05859375,1.0,0.0,cpu,0.0,3072.0,0.08391804670000055,604274688.0,442.05859375,rnn,0.0,18880512.0,0.0,0.0,32.0
0.0,relu,514.1484375,1.0,0.0,cpu,0.0,3072.0,0.15415687589993468,1208549376.0,514.1484375,rnn,0.0,18880512.0,0.0,0.0,64.0
0.0,relu,584.43125,1.0,0.0,cpu,0.0,3072.0,0.2900429312000597,2417098752.0,586.15625,rnn,0.0,18880512.0,0.0,0.0,128.0
0.0,relu,711.2890625,1.0,0.0,cpu,0.0,4096.0,0.007581047400071839,33566720.0,711.2890625,rnn,0.0,33562624.0,0.0,0.0,1.0
0.0,relu,839.30078125,1.0,0.0,cpu,0.0,4096.0,0.016328609700030937,67133440.0,839.30078125,rnn,0.0,33562624.0,0.0,0.0,2.0
0.0,relu,967.30859375,1.0,0.0,cpu,0.0,4096.0,0.02443748429996049,134266880.0,967.30859375,rnn,0.0,33562624.0,0.0,0.0,4.0
0.0,relu,1095.31640625,1.0,0.0,cpu,0.0,4096.0,0.04335461830005442,268533760.0,1095.31640625,rnn,0.0,33562624.0,0.0,0.0,8.0
0.0,relu,1223.8589409722222,1.0,0.0,cpu,0.0,4096.0,0.07803650149999157,537067520.0,1223.95703125,rnn,0.0,33562624.0,0.0,0.0,16.0
0.0,relu,1352.7254464285713,1.0,0.0,cpu,0.0,4096.0,0.14531579780004905,1074135040.0,1352.734375,rnn,0.0,33562624.0,0.0,0.0,32.0
0.0,relu,1481.50625,1.0,0.0,cpu,0.0,4096.0,0.285936429999947,2148270080.0,1482.015625,rnn,0.0,33562624.0,0.0,0.0,64.0
0.0,relu,1610.4697265625,1.0,0.0,cpu,0.0,4096.0,0.5587535534999916,4296540160.0,1612.28515625,rnn,0.0,33562624.0,0.0,0.0,128.0
