<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
,,,,,,73.0,347911225344.0,,,2954887168.0,32.0,128.0,0.06465252116322517,348225798144.0,2954887168.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,314572800.0,,,,
,,,,,,73.0,695822450688.0,,,3628072960.0,64.0,128.0,0.12565067689865828,696451596288.0,3628072960.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,629145600.0,,,,
,,,,,,73.0,1043733676032.0,,,4307550208.0,96.0,128.0,0.1829322999343276,1044677394432.0,4307550208.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,943718400.0,,,,
,,,,,,73.0,1391644901376.0,,,5014290432.0,128.0,128.0,0.2469928227365017,1392903192576.0,5014290432.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,1258291200.0,,,,
,,,,,,73.0,2087467352064.0,,,5620367360.0,192.0,128.0,0.3667636835947633,2089354788864.0,5620367360.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,1887436800.0,,,,
,,,,,,73.0,2783289802752.0,,,6425673728.0,256.0,128.0,0.4962769407778978,2785806385152.0,6425673728.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,2516582400.0,,,,
,,,,,,73.0,4174934704128.0,,,7633633280.0,384.0,128.0,0.7380684407427907,4178709577728.0,7633633280.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,3774873600.0,,,,
,,,,,,73.0,5566579605504.0,,,9244246016.0,512.0,128.0,1.0170028664171695,5571612770304.0,9244246016.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,5033164800.0,,,,
,,,,,,36.0,5435817984.0,,,1098907648.0,1.0,128.0,0.0030189767479896546,5440929792.0,1098907648.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,5111808.0,,,,
,,,,,,36.0,10871635968.0,,,1405091840.0,2.0,128.0,0.00394556000828743,10881859584.0,1405091840.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,10223616.0,,,,
,,,,,,36.0,21743271936.0,,,1688207360.0,4.0,128.0,0.005785740353167057,21763719168.0,1688207360.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,20447232.0,,,,
,,,,,,36.0,43486543872.0,,,2030043136.0,8.0,128.0,0.011053076945245266,43527438336.0,2030043136.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,40894464.0,,,,
,,,,,,36.0,86973087744.0,,,2252341248.0,16.0,128.0,0.018423335626721386,87054876672.0,2252341248.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,81788928.0,,,,
,,,,,,36.0,173946175488.0,,,2302672896.0,32.0,128.0,0.03366980161517859,174109753344.0,2302672896.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,163577856.0,,,,
,,,,,,36.0,347892350976.0,,,2629828608.0,64.0,128.0,0.0649084148928523,348219506688.0,2629828608.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,327155712.0,,,,
,,,,,,36.0,521838526464.0,,,3120562176.0,96.0,128.0,0.09396029207855464,522329260032.0,3120562176.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,490733568.0,,,,
,,,,,,36.0,695784701952.0,,,3523215360.0,128.0,128.0,0.1267658222466707,696439013376.0,3523215360.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,654311424.0,,,,
,,,,,,36.0,1043677052928.0,,,4127195136.0,192.0,128.0,0.1883047888055444,1044658520064.0,4127195136.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,981467136.0,,,,
,,,,,,36.0,1391569403904.0,,,4932501504.0,256.0,128.0,0.25452919993549583,1392878026752.0,4932501504.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,1308622848.0,,,,
,,,,,,36.0,2087354105856.0,,,6140461056.0,384.0,128.0,0.3773303180932999,2089317040128.0,6140461056.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,1962934272.0,,,,
,,,,,,36.0,2783138807808.0,,,7751073792.0,512.0,128.0,0.5192576974630356,2785756053504.0,7751073792.0,distilbert,62.0,66362880.0,0.0,13.0,0.0,,,13.0,2617245696.0,,,,
,,,,,,84.0,8266973184.0,,,1400897536.0,1.0,128.0,0.013097555749118328,8274444288.0,1400897536.0,funnel_transformer,174.0,130973184.0,0.0,61.0,0.0,,,29.0,7471104.0,,,,
,,,,,,84.0,16533946368.0,,,2006974464.0,2.0,128.0,0.0131438709795475,16548888576.0,2006974464.0,funnel_transformer,174.0,130973184.0,0.0,61.0,0.0,,,29.0,14942208.0,,,,
,,,,,,84.0,33067892736.0,,,2608857088.0,4.0,128.0,0.014016166515648364,33097777152.0,2608857088.0,funnel_transformer,174.0,130973184.0,0.0,61.0,0.0,,,29.0,29884416.0,,,,
,,,,,,84.0,66135785472.0,,,2613051392.0,8.0,128.0,0.020835746079683304,66195554304.0,2613051392.0,funnel_transformer,174.0,130973184.0,0.0,61.0,0.0,,,29.0,59768832.0,,,,
