<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
17.0,0.0,53.0,1623717838848.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,4217372672.0,384.0,224.0,0.0492891010006133,1646662778880.0,4217372672.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,22119186432.0,,
17.0,0.0,53.0,2164957118464.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,4905238528.0,512.0,224.0,0.06471193589968607,2195550371840.0,4905238528.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,29492248576.0,,
17.0,0.0,53.0,11395973120.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,2178940928.0,1.0,224.0,0.0012251487998582887,11455725568.0,2178940928.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,57602048.0,,
17.0,0.0,53.0,22791946240.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,2382364672.0,2.0,224.0,0.0012403847998939455,22911451136.0,2382364672.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,115204096.0,,
17.0,0.0,53.0,45583892480.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,2524971008.0,4.0,224.0,0.0014429572998778894,45822902272.0,2524971008.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,230408192.0,,
17.0,0.0,53.0,91167784960.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,2671771648.0,8.0,224.0,0.0024856515999999826,91645804544.0,2671771648.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,460816384.0,,
17.0,0.0,53.0,182335569920.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2839543808.0,16.0,224.0,0.004256770099891583,183291609088.0,2839543808.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,921632768.0,,
17.0,0.0,53.0,364671139840.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,3045064704.0,32.0,224.0,0.0076789282997197,366583218176.0,3045064704.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,1843265536.0,,
17.0,0.0,53.0,729342279680.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,3347054592.0,64.0,224.0,0.01442051589983748,733166436352.0,3347054592.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,3686531072.0,,
17.0,0.0,53.0,1094013419520.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,3632267264.0,96.0,224.0,0.02133064219960943,1099749654528.0,3632267264.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,5529796608.0,,
17.0,0.0,53.0,1458684559360.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3858759680.0,128.0,224.0,0.026857207900320645,1466332872704.0,3858759680.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,7373062144.0,,
17.0,0.0,53.0,2188026839040.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,4313841664.0,192.0,224.0,0.0407329462999769,2199499309056.0,4313841664.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,11059593216.0,,
17.0,0.0,53.0,2917369118720.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,4785700864.0,256.0,224.0,0.053849244600132816,2932665745408.0,4785700864.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,14746124288.0,,
17.0,0.0,53.0,4376053678080.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,5454692352.0,384.0,224.0,0.07956644970035995,4398998618112.0,5454692352.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,22119186432.0,,
17.0,0.0,53.0,5834738237440.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,6176112640.0,512.0,224.0,0.1057883083994966,5865331490816.0,6176112640.0,wide_resnet50_2,126.0,68883240.0,0.0,53.0,29492248576.0,,
35.0,0.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,,,,,1887436800.0,1.0,224.0,0.0015217061998555436,336242432.0,1887436800.0,mnasnet,141.0,4383312.0,0.0,52.0,21826560.0,,
35.0,0.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,,,,,1895825408.0,2.0,224.0,0.0015093832997081335,672484864.0,1895825408.0,mnasnet,141.0,4383312.0,0.0,52.0,43653120.0,,
35.0,0.0,52.0,1252543488.0,1.0,0.0,1.0,5120000.0,,,,,1895825408.0,4.0,224.0,0.0011604781000642106,1344969728.0,1895825408.0,mnasnet,141.0,4383312.0,0.0,52.0,87306240.0,,
35.0,0.0,52.0,2505086976.0,1.0,0.0,1.0,10240000.0,,,,,1908408320.0,8.0,224.0,0.0011814751000201796,2689939456.0,1908408320.0,mnasnet,141.0,4383312.0,0.0,52.0,174612480.0,,
35.0,0.0,52.0,5010173952.0,1.0,0.0,1.0,20480000.0,,,,,1933574144.0,16.0,224.0,0.001237103900348302,5379878912.0,1933574144.0,mnasnet,141.0,4383312.0,0.0,52.0,349224960.0,,
35.0,0.0,52.0,10020347904.0,1.0,0.0,1.0,40960000.0,,,,,1998585856.0,32.0,224.0,0.0022697754000546412,10759757824.0,1998585856.0,mnasnet,141.0,4383312.0,0.0,52.0,698449920.0,,
